player,position,x,y,minute,xg,outcome,shot_type,body_part,match_id
Nicholas Williams Arthuer,Left Wing,113.4,27.4,37,0.042119805,Saved,Open Play,Right Foot,3941018
Rodrigo Hernández Cascante,Center Defensive Midfield,102.1,36.2,38,0.06652527,Goal,Open Play,Left Foot,3941018
Lamine Yamal Nasraoui Ebana,Right Wing,92.7,49.6,46,0.015696,Blocked,Open Play,Left Foot,3941018
Fabián Ruiz Peña,Left Center Midfield,96.2,46.3,45,0.059734892,Off T,Open Play,Right Foot,3941018
Lamine Yamal Nasraoui Ebana,Right Wing,99.6,43.0,50,0.08360341,Saved,Free Kick,Left Foot,3941018
Fabián Ruiz Peña,Left Center Midfield,115.6,35.6,50,0.29910773,Goal,Open Play,Head,3941018
Lamine Yamal Nasraoui Ebana,Right Wing,101.0,47.7,52,0.07618404,Off T,Open Play,Left Foot,3941018
Álvaro Borja Morata Martín,Center Forward,94.8,37.3,54,0.046154205,Off T,Open Play,Right Foot,3941018
Daniel Olmo Carvajal,Right Center Midfield,95.6,45.7,59,0.030945767,Blocked,Open Play,Right Foot,3941018
Daniel Olmo Carvajal,Right Center Midfield,101.6,49.4,60,0.071499854,Wayward,Open Play,Right Foot,3941018
Lamine Yamal Nasraoui Ebana,Right Wing,104.9,41.5,62,0.075688556,Off T,Open Play,Left Foot,3941018
Fabián Ruiz Peña,Left Center Midfield,93.3,30.5,69,0.024543561,Off T,Open Play,Left Foot,3941018
Nicholas Williams Arthuer,Left Wing,111.2,29.5,74,0.21495746,Goal,Open Play,Right Foot,3941018
Daniel Olmo Carvajal,Center Attacking Midfield,108.3,38.6,76,0.26680577,Saved,Open Play,Right Foot,3941018
Lamine Yamal Nasraoui Ebana,Right Wing,114.8,47.3,79,0.2859731,Saved,Open Play,Left Foot,3941018
Lamine Yamal Nasraoui Ebana,Right Wing,107.6,49.0,81,0.08169625,Off T,Open Play,Left Foot,3941018
Daniel Olmo Carvajal,Center Attacking Midfield,102.3,38.5,82,0.1281342,Goal,Open Play,Left Foot,3941018
Nicholas Williams Arthuer,Left Wing,104.8,29.5,89,0.06438794,Blocked,Open Play,Right Foot,3941018
Daniel Olmo Carvajal,Center Attacking Midfield,99.5,41.3,89,0.053031437,Saved,Open Play,Right Foot,3941018
Daniel Olmo Carvajal,Center Attacking Midfield,114.6,50.7,91,0.061232504,Blocked,Open Play,Right Foot,3941018
Rodrigo Hernández Cascante,Right Defensive Midfield,106.0,40.5,92,0.033381354,Off T,Open Play,Head,3941018
Mikel Merino Zazón,Left Defensive Midfield,107.3,33.1,11,0.025040166,Saved,Open Play,Head,3930179
José Luis Sanmartín Mato,Center Forward,107.6,38.7,11,0.060585164,Off T,Open Play,Head,3930179
Ferrán Torres García,Right Wing,107.5,53.5,12,0.10358183,Goal,Open Play,Left Foot,3930179
Daniel Olmo Carvajal,Center Attacking Midfield,96.3,57.9,20,0.0103651,Off T,Open Play,Right Foot,3930179
Daniel Vivian Moreno,Right Center Back,109.7,40.6,25,0.046571102,Wayward,Open Play,Head,3930179
Daniel Olmo Carvajal,Center Attacking Midfield,113.0,47.4,35,0.10403911,Blocked,Open Play,Right Foot,3930179
Ferrán Torres García,Right Wing,109.6,50.2,40,0.030360926,Off T,Open Play,Head,3930179
Mikel Merino Zazón,Left Defensive Midfield,107.1,33.1,43,0.100341134,Off T,Open Play,Left Foot,3930179
José Luis Sanmartín Mato,Center Forward,104.0,24.3,45,0.014968767,Off T,Open Play,Right Foot,3930179
José Luis Sanmartín Mato,Center Forward,110.4,36.2,46,0.06717369,Off T,Open Play,Left Foot,3930179
Mikel Oyarzabal Ugarte,Left Wing,108.6,44.8,47,0.18723619,Saved,Open Play,Left Foot,3930179
Daniel Olmo Carvajal,Center Attacking Midfield,61.0,43.8,49,0.006101164,Off T,Open Play,Right Foot,3930179
Fermin Lopez Marin,Center Attacking Midfield,95.9,60.5,75,0.008684722,Wayward,Open Play,Right Foot,3930179
Fermin Lopez Marin,Center Attacking Midfield,97.4,48.1,76,0.02939205,Blocked,Open Play,Left Foot,3930179
Daniel Olmo Carvajal,Left Wing,107.7,27.1,78,0.06142092,Blocked,Open Play,Right Foot,3930179
Álvaro Borja Morata Martín,Center Forward,113.8,35.1,79,0.09585059,Off T,Open Play,Head,3930179
